,股票名称,股票代码,所属中证行业(2016) [行业类别]1级,所属中证行业(2016) [行业类别]2级,所属中证行业(2016) [行业类别]3级,所属中证行业(2016) [行业类别]4级,股票风格分类
0,平安银行,000001.SZ,金融地产,银行,商业银行,综合性银行,混合型
1,万科A,000002.SZ,金融地产,房地产,房地产开发与园区,房地产开发,混合型
2,国华网安,000004.SZ,信息技术,计算机运用,互联网服务,移动互联网信息服务,成长型
3,ST星源,000005.SZ,工业,资本品,环保设备、工程与服务,环保服务,成长型
4,深振业A,000006.SZ,金融地产,房地产,房地产开发与园区,房地产开发,价值型
5,*ST全新,000007.SZ,金融地产,房地产,房地产管理与服务,房地产管理与服务,价值型
6,神州高铁,000008.SZ,工业,资本品,机械制造,铁路设备,成长型
7,中国宝安,000009.SZ,工业,资本品,工业集团企业,工业集团企业,成长型
8,美丽生态,000010.SZ,工业,资本品,建筑与工程,园林工程,混合型
9,深物业A,000011.SZ,金融地产,房地产,房地产开发与园区,房地产开发,成长型
10,南玻A,000012.SZ,原材料,原材料,建筑材料,玻璃,价值型
11,沙河股份,000014.SZ,金融地产,房地产,房地产开发与园区,房地产开发,成长型
12,深康佳A,000016.SZ,可选消费,耐用消费品与服装,家庭耐用消费品,消费电子产品,成长型
13,深中华A,000017.SZ,可选消费,耐用消费品与服装,休闲设备与用品,休闲设备与用品,价值型
14,深粮控股,000019.SZ,主要消费,食品与主要用品零售,食品与主要用品零售,食品经销商,成长型
15,深华发A,000020.SZ,信息技术,计算机及电子设备,电子设备,光电子器件,混合型
16,深科技,000021.SZ,信息技术,计算机及电子设备,电脑与外围设备,电脑与外围设备,混合型
17,深天地A,000023.SZ,原材料,原材料,建筑材料,水泥,混合型
18,特力A,000025.SZ,可选消费,汽车与汽车零部件,汽车与摩托车,汽车经销商与汽车服务,成长型
19,飞亚达,000026.SZ,可选消费,零售业,其他零售,其他零售,价值型
20,深圳能源,000027.SZ,公用事业,公用事业,电力,火电,混合型
21,国药一致,000028.SZ,医药卫生,医药生物,制药,药品经销商,混合型
22,深深房A,000029.SZ,金融地产,房地产,房地产开发与园区,房地产开发,成长型
23,富奥股份,000030.SZ,可选消费,汽车与汽车零部件,汽车零配件与轮胎,汽车零配件,价值型
24,大悦城,000031.SZ,金融地产,房地产,房地产开发与园区,房地产开发,成长型
25,深桑达A,000032.SZ,信息技术,计算机及电子设备,电子设备,电脑及电子设备经销商,混合型
26,神州数码,000034.SZ,信息技术,计算机及电子设备,电子设备,电脑及电子设备经销商,成长型
27,中国天楹,000035.SZ,工业,资本品,环保设备、工程与服务,环保服务,成长型
28,华联控股,000036.SZ,金融地产,房地产,房地产开发与园区,房地产开发,价值型
29,深南电A,000037.SZ,公用事业,公用事业,电力,火电,混合型
30,深大通,000038.SZ,可选消费,传媒,传媒,营销与广告,价值型
31,中集集团,000039.SZ,工业,资本品,机械制造,通用机械,混合型
32,东旭蓝天,000040.SZ,公用事业,公用事业,电力,新能源发电,价值型
33,中洲控股,000042.SZ,金融地产,房地产,房地产开发与园区,房地产开发,价值型
